map_name,route_name_training,condition,key,route_name_actual,map.thisRepN,map.thisTrialN,map.thisN,map.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,map2.thisRepN,map2.thisTrialN,map2.thisN,map2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,consent_text.started,consent_text.stopped,consent_key_resp.keys,consent_key_resp.rt,consent_key_resp.started,consent_key_resp.stopped,text_2.started,text_2.stopped,journey_map_2.started,journey_map_2.stopped,routes_training.started,routes_training.stopped,text_3.started,text_3.stopped,training_resp.keys,training_resp.rt,training_resp.started,training_resp.stopped,text_8.started,text_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,journey_map.started,journey_map.stopped,route_actual.started,route_actual.stopped,text_actual.started,text_actual.stopped,response_2.keys,response_2.rt,response_2.started,response_2.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,ID (INITIALS and TODAYS DATE),date,expName,psychopyVersion,frameRate,compensated
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,green f1,e,routes_actual/p3_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0395518,None,164.5357566,165.0539489,e,5.9932136,165.0395518,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green f2,e,routes_actual/p2_L_tick_f2xR_red_f1.jpg,,,,,,,,,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,171.7764643,None,171.2976055,171.810607,e,8.9741078,171.7764643,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
